"path","name"
"prpl-foundation/components/netmodel/clients/netmodel-bridge","netmodel-bridge"
"prpl-foundation/components/netmodel/clients/netmodel-dhcpv4","netmodel-dhcpv4"
"prpl-foundation/components/netmodel/clients/netmodel-dhcpv6","netmodel-dhcpv6"
"prpl-foundation/components/netmodel/clients/netmodel-dslite","netmodel-dslite"
"prpl-foundation/components/netmodel/clients/netmodel-ethernet","netmodel-ethernet"
"prpl-foundation/components/netmodel/clients/netmodel-ip","netmodel-ip"
"prpl-foundation/components/netmodel/clients/netmodel-iprouter","netmodel-iprouter"
"prpl-foundation/components/netmodel/clients/netmodel-logical","netmodel-logical"
"prpl-foundation/components/netmodel/clients/netmodel-netdev","netmodel-netdev"
"prpl-foundation/components/netmodel/clients/netmodel-ppp","netmodel-ppp"
"prpl-foundation/components/netmodel/clients/netmodel-radio","netmodel-radio"
"prpl-foundation/components/netmodel/clients/netmodel-ssid","netmodel-ssid"
"prpl-foundation/components/netmodel/clients/netmodel-vlan","netmodel-vlan"
"prpl-foundation/components/netmodel/modules/mod-netmodel","mod-netmodel"
"prpl-foundation/components/utilities/odl-generator","odl-generator"
"prpl-foundation/components/utilities/debug-information","debug-information"
"prpl-foundation/lcm/applications/ckopeo","ckopeo"
"prpl-foundation/lcm/applications/cthulhu","cthulhu"
"prpl-foundation/lcm/applications/rlyeh","rlyeh"
"prpl-foundation/lcm/applications/timingila","timingila"
"prpl-foundation/lcm/libraries/libcthulhu","libcthulhu"
"prpl-foundation/lcm/libraries/librlyeh","librlyeh"
"prpl-foundation/lcm/modules/cthulhu-lxc","cthulhu-lxc"
"prpl-foundation/lcm/modules/timingila-cthulhu","timingila-cthulhu"
"prpl-foundation/lcm/modules/timingila-rlyeh","timingila-rlyeh"
"prpl-foundation/prplmesh/pwhm/libraries/libswla","libswla"
"prpl-foundation/prplmesh/pwhm/libraries/libswlc","libswlc"
"prpl-foundation/prplmesh/pwhm/modules/mod-whm-dummy","mod-whm-dummy"
"prpl-foundation/prplmesh/pwhm/plugins/pwhm","pwhm"
"prpl-foundation/mirrors/unbound","unbound"
"prpl-foundation/mirrors/ppp","ppp"
"prpl-foundation/mirrors/miniupnpd","miniupnpd"
"prpl-foundation/components/mfgdata/readmfg","readmfg"
"prpl-foundation/components/mfgdata/libmfg","libmfg"
"prpl-foundation/components/core/plugins/amx-processmonitor","amx-processmonitor"
"prpl-foundation/components/core/plugins/tr181-syslog","tr181-syslog"
"prpl-foundation/components/core/plugins/tr181-captiveportal","tr181-captiveportal"
"prpl-foundation/prplos/feeds/feed_peripheral","feed_peripheral"
"prpl-foundation/prplos/feeds/feed_opensource","feed_opensource"
"prpl-foundation/prplos/feeds/feed_net_core","feed_net_core"
"prpl-foundation/prplos/feeds/feed_net_services","feed_net_services"
"prpl-foundation/prplos/feeds/feed_qos_firewall","feed_qos_firewall"
"prpl-foundation/prplos/feeds/feed_amx","feed_amx"
"prpl-foundation/prplos/feeds/feed_usp","feed_usp"
"prpl-foundation/prplos/feeds/feed_netmodel","feed_netmodel"
"prpl-foundation/prplos/feeds/feed_gmap","feed_gmap"
"prpl-foundation/prplos/feeds/feed_net_hl_services","feed_net_hl_services"
"prpl-foundation/prplos/feeds/feed_debug","feed_debug"
"prpl-foundation/prplos/feeds/feed_lcm","feed_lcm"
"prpl-foundation/prplos/feeds/feed_tr69","feed_tr69"
"prpl-foundation/prplos/feeds/feed_board_configuration","feed_board_configuration"
"prpl-foundation/prplos/feeds/feed_wifi_core","feed_wifi_core"
"prpl-foundation/prplos/feeds/feed_wifi_swl","feed_wifi_swl"
"prpl-foundation/prplos/feeds/feed_mfg","feed_mfg"
"prpl-foundation/prplos/feeds/feed_swupdate","feed_swupdate"
"prpl-foundation/prplos/feeds/feed_mcastd","feed_mcastd"
"prpl-foundation/components/core/modules/mod-dns-unbound","mod-dns-unbound"
"prpl-foundation/lcm/libraries/liblcm","liblcm"
"prpl-foundation/lcm/plugins/cthulhu/cthulhu-networking","cthulhu-networking"
"prpl-foundation/components/core/plugins/tr181-ipdiagnostics","tr181-ipdiagnostics"
"prpl-foundation/lcm/samples/lcmsampleapp","lcmsampleapp"
"prpl-foundation/components/core/plugins/tr181-mqttbroker","tr181-mqttbroker"
"prpl-foundation/components/core/plugins/faultmonitor","amx-faultmonitor"
"prpl-foundation/components/core/plugins/reboot-service","reboot-service"
